City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tagusao,9.1924,117.8141,25.87,84,57,1.88,PH,1670454750
1,harlow,51.7766,0.1116,0.56,91,11,2.06,GB,1670454751
2,carnarvon,-24.8667,113.6333,21.98,61,57,6.5,AU,1670454751
3,qaanaaq,77.484,-69.3632,-11.13,67,83,3.76,GL,1670454752
4,busselton,-33.65,115.3333,16.99,72,53,2.81,AU,1670454541
5,punta arenas,-53.15,-70.9167,8.95,61,0,7.72,CL,1670454622
6,bethanien,-26.502,17.1583,20.15,31,0,2.51,NA,1670454753
7,nexo,55.0607,15.1306,1.05,89,99,6.89,DK,1670454754
8,fairbanks,64.8378,-147.7164,-6.71,90,100,0.0,US,1670454265
9,kapaa,22.0752,-159.319,28.99,77,75,8.23,US,1670454755
10,jamestown,42.097,-79.2353,6.8,78,100,2.06,US,1670454500
11,airai,-8.9266,125.4092,19.25,57,78,0.72,TL,1670454756
12,bluff,-46.6,168.3333,17.67,65,100,2.68,NZ,1670454756
13,rikitea,-23.1203,-134.9692,24.23,78,16,8.84,PF,1670454757
14,avarua,-21.2078,-159.775,28.03,74,100,4.63,CK,1670454757
15,georgetown,5.4112,100.3354,27.16,83,20,3.6,MY,1670454073
16,hobart,-42.8794,147.3294,12.92,67,40,8.23,AU,1670454758
17,road town,18.4167,-64.6167,26.05,69,40,5.14,VG,1670454759
18,bengkulu,-3.8004,102.2655,23.51,90,95,1.96,ID,1670454759
19,vaini,-21.2,-175.2,29.09,74,40,2.06,TO,1670454760
20,pacific grove,36.6177,-121.9166,15.21,72,40,3.09,US,1670454761
21,wake forest,35.9799,-78.5097,18.1,94,100,3.09,US,1670454697
22,mao,39.8885,4.2658,14.31,88,40,2.06,ES,1670454589
23,hasaki,35.7333,140.8333,6.79,48,0,5.73,JP,1670454762
24,aleksandrov gay,50.147,48.5704,-10.68,78,0,3.69,RU,1670454762
25,bara,10.3744,10.7288,20.98,24,25,3.95,NG,1670454763
26,ushuaia,-54.8,-68.3,7.81,49,40,9.77,AR,1670454763
27,tuensang,26.2833,94.8333,11.48,89,73,1.67,IN,1670454764
28,alice springs,-23.7,133.8833,24.75,25,40,8.75,AU,1670454765
29,torbay,47.6666,-52.7314,3.2,96,100,3.58,CA,1670454765
30,flinders,-34.5833,150.8552,20.1,57,24,2.68,AU,1670454766
31,yulara,-25.2406,130.9889,25.5,23,85,8.48,AU,1670454767
32,port elizabeth,-33.918,25.5701,19.62,91,24,2.24,ZA,1670454767
